C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
0.1,0.1,linear,linear,7,0.8262411347517731,0.4897959183673469
0.1,0.1,linear,linear,12,0.74822695035461,0.4142857142857143
0.1,0.1,linear,linear,17,0.6666666666666666,0.40476190476190477
0.1,0.1,linear,rbf,7,0.8794326241134752,0.2857142857142857
0.1,0.1,linear,rbf,12,0.7659574468085106,0.0547945205479452
0.1,0.1,linear,rbf,17,0.6950354609929078,0.05511811023622047
0.1,0.1,linear,sigmoid,7,0.8333333333333334,0.19148936170212766
0.1,0.1,linear,sigmoid,12,0.75177304964539,0.13095238095238096
0.1,0.1,linear,sigmoid,17,0.7127659574468085,0.07894736842105263
0.1,0.1,linear,poly,7,0.8439716312056738,0.09090909090909091
0.1,0.1,linear,poly,12,0.6985815602836879,0.07865168539325842
0.1,0.1,linear,poly,17,0.6773049645390071,0.06870229007633588
0.1,0.1,rbf,linear,7,0.851063829787234,0.5714285714285714
0.1,0.1,rbf,linear,12,0.7304964539007093,0.42105263157894735
0.1,0.1,rbf,linear,17,0.5354609929078015,0.3816793893129771
0.1,0.1,rbf,rbf,7,0.8581560283687943,0.175
0.1,0.1,rbf,rbf,12,0.7411347517730497,0.0684931506849315
0.1,0.1,rbf,rbf,17,0.5283687943262412,0.06015037593984962
0.1,0.1,rbf,sigmoid,7,0.7907801418439716,0.1694915254237288
0.1,0.1,rbf,sigmoid,12,0.7411347517730497,0.0821917808219178
0.1,0.1,rbf,sigmoid,17,0.549645390070922,0.09448818897637795
0.1,0.1,rbf,poly,7,0.875886524822695,0.05714285714285714
0.1,0.1,rbf,poly,12,0.7375886524822695,0.0945945945945946
0.1,0.1,rbf,poly,17,0.5460992907801419,0.0625
0.1,0.1,sigmoid,linear,7,0.8865248226950354,0.46875
0.1,0.1,sigmoid,linear,12,0.7198581560283688,0.34177215189873417
0.1,0.1,sigmoid,linear,17,0.6808510638297872,0.34074074074074073
0.1,0.1,sigmoid,rbf,7,0.8404255319148937,0.06666666666666667
0.1,0.1,sigmoid,rbf,12,0.7446808510638298,0.1111111111111111
0.1,0.1,sigmoid,rbf,17,0.6702127659574468,0.056338028169014086
0.1,0.1,sigmoid,sigmoid,7,0.8297872340425532,0.08333333333333333
0.1,0.1,sigmoid,sigmoid,12,0.7056737588652482,0.07228915662650602
0.1,0.1,sigmoid,sigmoid,17,0.7056737588652482,0.08955223880597014
0.1,0.1,sigmoid,poly,7,0.875886524822695,0.08571428571428572
0.1,0.1,sigmoid,poly,12,0.6879432624113475,0.10227272727272728
0.1,0.1,sigmoid,poly,17,0.7127659574468085,0.05228758169934641
0.1,0.1,poly,linear,7,0.8546099290780141,0.43902439024390244
0.1,0.1,poly,linear,12,0.7198581560283688,0.4050632911392405
0.1,0.1,poly,linear,17,0.5602836879432624,0.3548387096774194
0.1,0.1,poly,rbf,7,0.8191489361702128,0.29411764705882354
0.1,0.1,poly,rbf,12,0.75177304964539,0.08571428571428572
0.1,0.1,poly,rbf,17,0.4929078014184397,0.06993006993006994
0.1,0.1,poly,sigmoid,7,0.8156028368794326,0.1346153846153846
0.1,0.1,poly,sigmoid,12,0.7198581560283688,0.10126582278481013
0.1,0.1,poly,sigmoid,17,0.475177304964539,0.033783783783783786
0.1,0.1,poly,poly,7,0.8439716312056738,0.1590909090909091
0.1,0.1,poly,poly,12,0.7056737588652482,0.04819277108433735
0.1,0.1,poly,poly,17,0.5780141843971631,0.06722689075630252
0.1,1.0,linear,linear,7,0.8226950354609929,0.38
0.1,1.0,linear,linear,12,0.6985815602836879,0.4111111111111111
