,C_nei,kernel_nei,n,accuracy_nei
0,0.1,linear,15,0.9893617021276596
1,0.1,linear,17,0.9680851063829787
2,0.1,linear,19,0.9609929078014184
3,0.1,rbf,15,0.9787234042553191
4,0.1,rbf,17,0.9716312056737588
5,0.1,rbf,19,0.9858156028368794
6,0.1,sigmoid,15,0.9858156028368794
7,0.1,sigmoid,17,0.9680851063829787
8,0.1,sigmoid,19,0.975177304964539
9,0.1,poly,15,0.9787234042553191
10,0.1,poly,17,0.9680851063829787
11,0.1,poly,19,0.9822695035460993
12,1.0,linear,15,0.9609929078014184
13,1.0,linear,17,0.975177304964539
14,1.0,linear,19,0.9609929078014184
15,1.0,rbf,15,0.9716312056737588
16,1.0,rbf,17,0.9716312056737588
17,1.0,rbf,19,0.975177304964539
18,1.0,sigmoid,15,0.9716312056737588
19,1.0,sigmoid,17,0.9645390070921985
20,1.0,sigmoid,19,0.975177304964539
21,1.0,poly,15,0.9645390070921985
22,1.0,poly,17,0.9574468085106383
23,1.0,poly,19,0.9609929078014184
24,2.0,linear,15,0.9539007092198581
25,2.0,linear,17,0.9716312056737588
26,2.0,linear,19,0.9539007092198581
27,2.0,rbf,15,0.9680851063829787
28,2.0,rbf,17,0.9822695035460993
29,2.0,rbf,19,0.9716312056737588
30,2.0,sigmoid,15,0.9787234042553191
31,2.0,sigmoid,17,0.975177304964539
32,2.0,sigmoid,19,0.9716312056737588
33,2.0,poly,15,0.9609929078014184
34,2.0,poly,17,0.9787234042553191
35,2.0,poly,19,0.9787234042553191
